Date,Year,Year,MonthName,DayOfMonth,DayOfWeekName,QuarterInCalendar.1
21-02-2018,2018,2018,February,21,Wednesday,Q1
22-02-2018,2018,2018,February,22,Thursday,Q1
23-02-2018,2018,2018,February,23,Friday,Q1
24-02-2018,2018,2018,February,24,Saturday,Q1
25-02-2018,2018,2018,February,25,Sunday,Q1
26-02-2018,2018,2018,February,26,Monday,Q1
27-02-2018,2018,2018,February,27,Tuesday,Q1
28-02-2018,2018,2018,February,28,Wednesday,Q1
01-03-2018,2018,2018,March,1,Thursday,Q1
02-03-2018,2018,2018,March,2,Friday,Q1
03-03-2018,2018,2018,March,3,Saturday,Q1
04-03-2018,2018,2018,March,4,Sunday,Q1
05-03-2018,2018,2018,March,5,Monday,Q1
06-03-2018,2018,2018,March,6,Tuesday,Q1
07-03-2018,2018,2018,March,7,Wednesday,Q1
08-03-2018,2018,2018,March,8,Thursday,Q1
09-03-2018,2018,2018,March,9,Friday,Q1
10-03-2018,2018,2018,March,10,Saturday,Q1
11-03-2018,2018,2018,March,11,Sunday,Q1
12-03-2018,2018,2018,March,12,Monday,Q1
13-03-2018,2018,2018,March,13,Tuesday,Q1
14-03-2018,2018,2018,March,14,Wednesday,Q1
15-03-2018,2018,2018,March,15,Thursday,Q1
16-03-2018,2018,2018,March,16,Friday,Q1
17-03-2018,2018,2018,March,17,Saturday,Q1
18-03-2018,2018,2018,March,18,Sunday,Q1
19-03-2018,2018,2018,March,19,Monday,Q1
20-03-2018,2018,2018,March,20,Tuesday,Q1
21-03-2018,2018,2018,March,21,Wednesday,Q1
22-03-2018,2018,2018,March,22,Thursday,Q1
23-03-2018,2018,2018,March,23,Friday,Q1
24-03-2018,2018,2018,March,24,Saturday,Q1
25-03-2018,2018,2018,March,25,Sunday,Q1
26-03-2018,2018,2018,March,26,Monday,Q1
27-03-2018,2018,2018,March,27,Tuesday,Q1
28-03-2018,2018,2018,March,28,Wednesday,Q1
29-03-2018,2018,2018,March,29,Thursday,Q1
30-03-2018,2018,2018,March,30,Friday,Q1
31-03-2018,2018,2018,March,31,Saturday,Q1
01-10-2018,2018,2018,October,1,Monday,Q4
02-10-2018,2018,2018,October,2,Tuesday,Q4
03-10-2018,2018,2018,October,3,Wednesday,Q4
04-10-2018,2018,2018,October,4,Thursday,Q4
05-10-2018,2018,2018,October,5,Friday,Q4
06-10-2018,2018,2018,October,6,Saturday,Q4
07-10-2018,2018,2018,October,7,Sunday,Q4
08-10-2018,2018,2018,October,8,Monday,Q4
09-10-2018,2018,2018,October,9,Tuesday,Q4
10-10-2018,2018,2018,October,10,Wednesday,Q4
11-10-2018,2018,2018,October,11,Thursday,Q4
12-10-2018,2018,2018,October,12,Friday,Q4
13-10-2018,2018,2018,October,13,Saturday,Q4
14-10-2018,2018,2018,October,14,Sunday,Q4
15-10-2018,2018,2018,October,15,Monday,Q4
16-10-2018,2018,2018,October,16,Tuesday,Q4
17-10-2018,2018,2018,October,17,Wednesday,Q4
18-10-2018,2018,2018,October,18,Thursday,Q4
19-10-2018,2018,2018,October,19,Friday,Q4
20-10-2018,2018,2018,October,20,Saturday,Q4
21-10-2018,2018,2018,October,21,Sunday,Q4
22-10-2018,2018,2018,October,22,Monday,Q4
23-10-2018,2018,2018,October,23,Tuesday,Q4
24-10-2018,2018,2018,October,24,Wednesday,Q4
25-10-2018,2018,2018,October,25,Thursday,Q4
26-10-2018,2018,2018,October,26,Friday,Q4
27-10-2018,2018,2018,October,27,Saturday,Q4
28-10-2018,2018,2018,October,28,Sunday,Q4
29-10-2018,2018,2018,October,29,Monday,Q4
30-10-2018,2018,2018,October,30,Tuesday,Q4
31-10-2018,2018,2018,October,31,Wednesday,Q4
01-11-2018,2018,2018,November,1,Thursday,Q4
02-11-2018,2018,2018,November,2,Friday,Q4
03-11-2018,2018,2018,November,3,Saturday,Q4
04-11-2018,2018,2018,November,4,Sunday,Q4
05-11-2018,2018,2018,November,5,Monday,Q4
06-11-2018,2018,2018,November,6,Tuesday,Q4
07-11-2018,2018,2018,November,7,Wednesday,Q4
08-11-2018,2018,2018,November,8,Thursday,Q4
09-11-2018,2018,2018,November,9,Friday,Q4
10-11-2018,2018,2018,November,10,Saturday,Q4
11-11-2018,2018,2018,November,11,Sunday,Q4
12-11-2018,2018,2018,November,12,Monday,Q4
13-11-2018,2018,2018,November,13,Tuesday,Q4
14-11-2018,2018,2018,November,14,Wednesday,Q4
15-11-2018,2018,2018,November,15,Thursday,Q4
16-11-2018,2018,2018,November,16,Friday,Q4
17-11-2018,2018,2018,November,17,Saturday,Q4
18-11-2018,2018,2018,November,18,Sunday,Q4
19-11-2018,2018,2018,November,19,Monday,Q4
20-11-2018,2018,2018,November,20,Tuesday,Q4
21-11-2018,2018,2018,November,21,Wednesday,Q4
22-11-2018,2018,2018,November,22,Thursday,Q4
23-11-2018,2018,2018,November,23,Friday,Q4
24-11-2018,2018,2018,November,24,Saturday,Q4
25-11-2018,2018,2018,November,25,Sunday,Q4
26-11-2018,2018,2018,November,26,Monday,Q4
27-11-2018,2018,2018,November,27,Tuesday,Q4
28-11-2018,2018,2018,November,28,Wednesday,Q4
29-11-2018,2018,2018,November,29,Thursday,Q4
30-11-2018,2018,2018,November,30,Friday,Q4
01-12-2018,2018,2018,December,1,Saturday,Q4
02-12-2018,2018,2018,December,2,Sunday,Q4
03-12-2018,2018,2018,December,3,Monday,Q4
04-12-2018,2018,2018,December,4,Tuesday,Q4
05-12-2018,2018,2018,December,5,Wednesday,Q4
06-12-2018,2018,2018,December,6,Thursday,Q4
07-12-2018,2018,2018,December,7,Friday,Q4
08-12-2018,2018,2018,December,8,Saturday,Q4
09-12-2018,2018,2018,December,9,Sunday,Q4
